Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,L,10168772,10169117,346,814.2,619.3,845,,,
Saccade,DadsArmy,L,10169118,10169254,137,835.7,623.7,822.4,512.2,2.74,549
Fixation,DadsArmy,L,10169255,10169400,146,832.1,535.1,734,,,
Saccade,DadsArmy,L,10169401,10169425,25,834.6,537.3,750,505.1,2.22,188
Fixation,DadsArmy,L,10169426,10169675,250,767,509.3,726,,,
Saccade,DadsArmy,L,10169676,10169729,54,769.5,504.4,1047.9,503.2,6.8,341
Fixation,DadsArmy,L,10169730,10169970,241,1070.2,508,786,,,
Saccade,DadsArmy,L,10169971,10169995,25,1072.1,506.8,1005.1,471.9,1.84,178
Fixation,DadsArmy,L,10169996,10170160,165,1011.8,479,837,,,
Saccade,DadsArmy,L,10170161,10170222,62,1012.3,481.7,634.6,381.2,9.54,406
Fixation,DadsArmy,L,10170223,10171177,955,609.8,390.3,931,,,
Saccade,DadsArmy,L,10171178,10171208,31,626,390.1,597.3,403.8,0.78,128
Fixation,DadsArmy,L,10171209,10171666,458,554.5,404.4,1056,,,
Saccade,DadsArmy,L,10171667,10171682,16,519.1,407,500.1,365.1,1.12,93
Fixation,DadsArmy,L,10171683,10172045,363,497.6,377.2,1028,,,
Saccade,DadsArmy,L,10172046,10172207,162,493.6,390.8,678.2,415.9,4.53,1015
Fixation,DadsArmy,L,10172208,10172516,309,695,432.5,1032,,,
Saccade,DadsArmy,L,10172517,10172540,24,700.6,431.8,649.5,410.1,1.36,142
Fixation,DadsArmy,L,10172541,10172830,290,655.7,410.1,1049,,,
Saccade,DadsArmy,L,10172831,10172858,28,657.3,409.1,642.6,416.8,0.41,103
Fixation,DadsArmy,L,10172859,10173213,355,658.1,412.4,1067,,,
Saccade,DadsArmy,L,10173214,10173234,21,680.2,401.7,699.2,391.2,0.53,82
Fixation,DadsArmy,L,10173235,10173915,681,692.6,392.9,1079,,,
Saccade,DadsArmy,L,10173916,10173964,49,678.1,403.5,707.5,591.6,4.65,277
Fixation,DadsArmy,L,10173965,10174343,379,713.7,611,1141,,,
Saccade,DadsArmy,L,10174344,10174386,43,715.3,617.4,837.8,415,5.78,265
Fixation,DadsArmy,L,10174387,10174575,189,859.3,412.4,1114,,,
Saccade,DadsArmy,L,10174576,10174599,24,886.3,409.6,974.7,371.1,2.36,187
Fixation,DadsArmy,L,10174600,10174888,289,1021,359.5,1087,,,
Saccade,DadsArmy,L,10174889,10174956,68,1067.8,355.1,652.9,379.7,10.11,408
Fixation,DadsArmy,L,10174957,10175206,250,652.7,375.8,1121,,,
Saccade,DadsArmy,L,10175207,10175239,33,662,369.8,623,381.7,1,173
Fixation,DadsArmy,L,10175240,10175369,130,607.1,378.5,1125,,,
