Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,L,5483530,5483656,127,804.6,606.6,2040,,,
Saccade,DadsArmy,L,5483657,5483687,31,802.4,603.9,668.7,550,3.53,188
Fixation,DadsArmy,L,5483688,5484131,444,678.8,561,2167,,,
Saccade,DadsArmy,L,5484132,5484166,35,674.5,562.9,834.7,495.6,4.26,251
Fixation,DadsArmy,L,5484167,5484330,164,823.9,501.2,2248,,,
Saccade,DadsArmy,L,5484331,5484366,36,824.1,502.1,1004.8,472.4,4.48,246
Fixation,DadsArmy,L,5484367,5484670,304,992.3,475.1,2373,,,
Saccade,DadsArmy,L,5484671,5484713,43,992.7,474.1,658.3,401.3,8.37,388
Fixation,DadsArmy,L,5484714,5484911,198,669.3,404.2,2457,,,
Saccade,DadsArmy,L,5484912,5484940,29,667.9,404.3,634.9,398,0.82,152
Fixation,DadsArmy,L,5484941,5485595,655,597,394.4,2639,,,
Saccade,DadsArmy,L,5485596,5485616,21,590.2,397,571.9,390.8,0.47,94
Fixation,DadsArmy,L,5485617,5486095,479,574.3,387.4,2858,,,
Saccade,DadsArmy,L,5486096,5486118,23,557.7,379.7,503,363.3,1.38,136
Fixation,DadsArmy,L,5486119,5486477,359,487.3,381,2866,,,
Saccade,DadsArmy,L,5486478,5486497,20,475.6,385.3,454.2,339.5,1.22,108
Fixation,DadsArmy,L,5486498,5486780,283,447.3,354.7,2882,,,
Saccade,DadsArmy,L,5486781,5486815,35,439.3,357.4,651.6,399.9,5.24,310
Fixation,DadsArmy,L,5486816,5487160,345,653.9,403.2,3004,,,
Saccade,DadsArmy,L,5487161,5487183,23,663.3,403,591.1,368,1.96,186
Fixation,DadsArmy,L,5487184,5487365,182,602.6,372.2,3035,,,
Saccade,DadsArmy,L,5487366,5487387,22,611,370.1,642.5,412.1,1.28,123
Fixation,DadsArmy,L,5487388,5487541,154,642.8,405.6,3078,,,
Saccade,DadsArmy,L,5487542,5487559,18,644.2,404.6,634.3,384.2,0.55,70
Fixation,DadsArmy,L,5487560,5487854,295,638.5,391.4,3097,,,
Saccade,DadsArmy,L,5487855,5487906,52,643.9,394,201.6,253,11.01,338
Fixation,DadsArmy,L,5487907,5488181,275,212,270.9,3075,,,
Saccade,DadsArmy,L,5488182,5488240,59,210.9,286.2,312.4,918.7,14.95,384
Fixation,DadsArmy,L,5488241,5488417,177,319.1,930.8,3346,,,
Saccade,DadsArmy,L,5488418,5488441,24,323.3,935.4,350.3,1038.4,2.43,183
Fixation,DadsArmy,L,5488442,5488774,333,356.1,1035.3,3424,,,
Saccade,DadsArmy,L,5488775,5488925,151,359.7,1040.9,824.2,362,19.41,2363
Fixation,DadsArmy,L,5488926,5489165,240,838.4,366.1,3205,,,
Saccade,DadsArmy,L,5489166,5489184,19,855.1,366.8,907,384.5,1.35,126
Fixation,DadsArmy,L,5489185,5489338,154,920.4,382.1,3145,,,
Saccade,DadsArmy,L,5489339,5489363,25,946,375.3,1059.7,353.7,2.82,210
Fixation,DadsArmy,L,5489364,5489975,612,1160.5,354.2,3090,,,
Saccade,DadsArmy,L,5489976,5490004,29,1248.1,361,1233.5,258.6,2.48,135
Fixation,DadsArmy,L,5490005,5490208,204,1237.6,264.4,3080,,,
Saccade,DadsArmy,L,5490209,5490257,49,1240.3,263.3,1435.4,380.3,5.32,300
Fixation,DadsArmy,L,5490258,5490397,140,1453.8,384.4,3083,,,
Saccade,DadsArmy,L,5490398,5490492,95,1455.7,392.8,568.8,338.8,20.91,893
Fixation,DadsArmy,L,5490493,5490644,152,584.5,342.2,3213,,,
Saccade,DadsArmy,L,5490645,5490669,25,597.3,342.2,472.3,323.8,3.06,247
Fixation,DadsArmy,L,5490670,5490865,196,495.4,331.5,3157,,,
Saccade,DadsArmy,L,5490866,5490888,23,503.6,335.7,474.6,322.1,0.77,121
Fixation,DadsArmy,L,5490889,5491029,141,476.3,328.4,3178,,,
Saccade,DadsArmy,L,5491030,5491050,21,483.4,328.7,529.2,324.7,1.11,120
Fixation,DadsArmy,L,5491051,5491411,361,585.3,335.1,3223,,,
Saccade,DadsArmy,L,5491412,5491432,21,653.7,347.1,739.4,370.9,2.18,174
Fixation,DadsArmy,L,5491433,5491559,127,747.8,372.7,3218,,,
Saccade,DadsArmy,L,5491560,5491588,29,766,374.3,592.4,334.5,4.36,297
Fixation,DadsArmy,L,5491589,5491864,276,599.1,334.2,3216,,,
Saccade,DadsArmy,L,5491865,5491885,21,601.3,334,574.7,313,0.83,110
